,GPS_point,Plot_size,_geolocation,_id,_notes,_submission_time,_uuid,area_in_hectare,crop_monsoon,crop_summer,crop_summer_001,crop_summer_1,crop_winter,crop_winter_001,crop_winter_1,deviceid,district,enum_name,harvest_date_mon,harvest_date_summ,harvest_date_winter,image,other_crop_monsoon,other_crop_summer,palika,plot_area,remarks,rounded_shape_area,shape,shape_area,sowing_date_mon,sowing_date_summ,sowing_date_winter,yield_mons,yield_summ,yield_summ_1,yield_winter,yield_winter_1,crop,yield,season
3,28.6748428 80.3718111 109.9 4.65,Yes,"[28.6748428, 80.3718111]",361550049,[],2024-07-18T13:36:14,a5d50707-f6d3-40cf-8858-aea5c9cc48e5,0.23800000000000002,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-03,,2024-03-28,1721297975211.jpg,,,Belauri,7.0,Gau balima rog lager kam utpadan bhayo ,2582.72,28.674350790986797 80.37277098745108 0.0 0.0;28.67468524834463 80.37286587059498 0.0 0.0;28.674862036718956 80.3722070530057 0.0 0.0;28.674564643791648 80.37206958979368 0.0 0.0;28.674350790986797 80.37277098745108 0.0 0.0,2582.719092477226,2024-06-27,,2023-11-30,5042.02,,,1260.5,,fallow,,summer
3,28.6748428 80.3718111 109.9 4.65,Yes,"[28.6748428, 80.3718111]",361550049,[],2024-07-18T13:36:14,a5d50707-f6d3-40cf-8858-aea5c9cc48e5,0.23800000000000002,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-03,,2024-03-28,1721297975211.jpg,,,Belauri,7.0,Gau balima rog lager kam utpadan bhayo ,2582.72,28.674350790986797 80.37277098745108 0.0 0.0;28.67468524834463 80.37286587059498 0.0 0.0;28.674862036718956 80.3722070530057 0.0 0.0;28.674564643791648 80.37206958979368 0.0 0.0;28.674350790986797 80.37277098745108 0.0 0.0,2582.719092477226,2024-06-27,,2023-11-30,5042.02,,,1260.5,,rice,5042.02,monsoon
4,28.6736146 80.3740882 111.20000000000002 2.0,Yes,"[28.6736146, 80.3740882]",361561928,[],2024-07-18T13:59:38,cb3ad218-b5aa-4984-a487-89df020213a4,0.677,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-18,,2024-03-30,1721296996217.jpg,,,Belauri,1.0,Badhile dhan bagayako,6846.89,28.67287763628335 80.37452314049006 0.0 0.0;28.67315267772177 80.37370942533016 0.0 0.0;28.6738533682625 80.37404604256153 0.0 0.0;28.67368952123007 80.37459623068571 0.0 0.0;28.673529203867737 80.37452716380358 0.0 0.0;28.673408009662182 80.37480644881725 0.0 0.0;28.67287763628335 80.37452314049006 0.0 0.0,6846.889682203252,2024-06-17,,2023-12-08,4431.31,,,2215.66,,wheat,2215.66,winter
4,28.6736146 80.3740882 111.20000000000002 2.0,Yes,"[28.6736146, 80.3740882]",361561928,[],2024-07-18T13:59:38,cb3ad218-b5aa-4984-a487-89df020213a4,0.677,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-18,,2024-03-30,1721296996217.jpg,,,Belauri,1.0,Badhile dhan bagayako,6846.89,28.67287763628335 80.37452314049006 0.0 0.0;28.67315267772177 80.37370942533016 0.0 0.0;28.6738533682625 80.37404604256153 0.0 0.0;28.67368952123007 80.37459623068571 0.0 0.0;28.673529203867737 80.37452716380358 0.0 0.0;28.673408009662182 80.37480644881725 0.0 0.0;28.67287763628335 80.37452314049006 0.0 0.0,6846.889682203252,2024-06-17,,2023-12-08,4431.31,,,2215.66,,fallow,,summer
4,28.6736146 80.3740882 111.20000000000002 2.0,Yes,"[28.6736146, 80.3740882]",361561928,[],2024-07-18T13:59:38,cb3ad218-b5aa-4984-a487-89df020213a4,0.677,rice,fallow,,,wheat,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-18,,2024-03-30,1721296996217.jpg,,,Belauri,1.0,Badhile dhan bagayako,6846.89,28.67287763628335 80.37452314049006 0.0 0.0;28.67315267772177 80.37370942533016 0.0 0.0;28.6738533682625 80.37404604256153 0.0 0.0;28.67368952123007 80.37459623068571 0.0 0.0;28.673529203867737 80.37452716380358 0.0 0.0;28.673408009662182 80.37480644881725 0.0 0.0;28.67287763628335 80.37452314049006 0.0 0.0,6846.889682203252,2024-06-17,,2023-12-08,4431.31,,,2215.66,,rice,4431.31,monsoon
5,28.6804442 80.3650571 139.59999084472656 3.287,Yes,"[28.6804442, 80.3650571]",361561939,[],2024-07-18T13:59:39,09bb16fa-dbf8-4272-b8fd-884bf5d55673,0.272,rice,fallow,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-10-18,,,1721301453644.jpg,,,Belauri,8.0,1 kathak ma matra makai lagako bhayakole fellow lekheko,2738.09,28.68083413159475 80.3648829460144 0.0 0.0;28.6806947091371 80.36521051079035 0.0 0.0;28.679967885682466 80.36491647362709 0.0 0.0;28.680059069800098 80.36465361714363 0.0 0.0;28.68083413159475 80.3648829460144 0.0 0.0,2738.093956412981,2024-06-30,,,4411.76,,,,,fallow,,winter
5,28.6804442 80.3650571 139.59999084472656 3.287,Yes,"[28.6804442, 80.3650571]",361561939,[],2024-07-18T13:59:39,09bb16fa-dbf8-4272-b8fd-884bf5d55673,0.272,rice,fallow,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-10-18,,,1721301453644.jpg,,,Belauri,8.0,1 kathak ma matra makai lagako bhayakole fellow lekheko,2738.09,28.68083413159475 80.3648829460144 0.0 0.0;28.6806947091371 80.36521051079035 0.0 0.0;28.679967885682466 80.36491647362709 0.0 0.0;28.680059069800098 80.36465361714363 0.0 0.0;28.68083413159475 80.3648829460144 0.0 0.0,2738.093956412981,2024-06-30,,,4411.76,,,,,fallow,,summer
5,28.6804442 80.3650571 139.59999084472656 3.287,Yes,"[28.6804442, 80.3650571]",361561939,[],2024-07-18T13:59:39,09bb16fa-dbf8-4272-b8fd-884bf5d55673,0.272,rice,fallow,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-10-18,,,1721301453644.jpg,,,Belauri,8.0,1 kathak ma matra makai lagako bhayakole fellow lekheko,2738.09,28.68083413159475 80.3648829460144 0.0 0.0;28.6806947091371 80.36521051079035 0.0 0.0;28.679967885682466 80.36491647362709 0.0 0.0;28.680059069800098 80.36465361714363 0.0 0.0;28.68083413159475 80.3648829460144 0.0 0.0,2738.093956412981,2024-06-30,,,4411.76,,,,,rice,4411.76,monsoon
6,28.6805996 80.3633467 102.5 4.86,Yes,"[28.6805996, 80.3633467]",361561951,[],2024-07-18T13:59:40,183570a4-a7ac-4409-8c4b-5caeec5224d6,0.391,banana,fallow,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,,,,1721303221500.jpg,,,Belauri,11.5,"3year bat banana lagako 1400 bot ,barsik bali bhawani fellow lekhn pareko",3838.93,28.680898548237185 80.36321260035038 0.0 0.0;28.680747948536286 80.3638020157814 0.0 0.0;28.68024614406386 80.36361996084452 0.0 0.0;28.68033673965644 80.36324914544821 0.0 0.0;28.680194080976847 80.36318443715572 0.0 0.0;28.680267616402958 80.36299366503954 0.0 0.0;28.680898548237185 80.36321260035038 0.0 0.0,3838.9283491606475,,,,2301.79,,,,,fallow,,winter
6,28.6805996 80.3633467 102.5 4.86,Yes,"[28.6805996, 80.3633467]",361561951,[],2024-07-18T13:59:40,183570a4-a7ac-4409-8c4b-5caeec5224d6,0.391,banana,fallow,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,,,,1721303221500.jpg,,,Belauri,11.5,"3year bat banana lagako 1400 bot ,barsik bali bhawani fellow lekhn pareko",3838.93,28.680898548237185 80.36321260035038 0.0 0.0;28.680747948536286 80.3638020157814 0.0 0.0;28.68024614406386 80.36361996084452 0.0 0.0;28.68033673965644 80.36324914544821 0.0 0.0;28.680194080976847 80.36318443715572 0.0 0.0;28.680267616402958 80.36299366503954 0.0 0.0;28.680898548237185 80.36321260035038 0.0 0.0,3838.9283491606475,,,,2301.79,,,,,fallow,,summer
6,28.6805996 80.3633467 102.5 4.86,Yes,"[28.6805996, 80.3633467]",361561951,[],2024-07-18T13:59:40,183570a4-a7ac-4409-8c4b-5caeec5224d6,0.391,banana,fallow,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,,,,1721303221500.jpg,,,Belauri,11.5,"3year bat banana lagako 1400 bot ,barsik bali bhawani fellow lekhn pareko",3838.93,28.680898548237185 80.36321260035038 0.0 0.0;28.680747948536286 80.3638020157814 0.0 0.0;28.68024614406386 80.36361996084452 0.0 0.0;28.68033673965644 80.36324914544821 0.0 0.0;28.680194080976847 80.36318443715572 0.0 0.0;28.680267616402958 80.36299366503954 0.0 0.0;28.680898548237185 80.36321260035038 0.0 0.0,3838.9283491606475,,,,2301.79,,,,,banana,2301.79,monsoon
7,28.6763243 80.3651619 137.1999969482422 3.7,Yes,"[28.6763243, 80.3651619]",361561964,[],2024-07-18T13:59:42,4aa92865-6339-415d-becf-052897d9ee95,0.17,rice,rice,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-05,2024-05-04,,1721304666129.jpg,,,Belauri,5.0,Basante makai,1610.74,28.676406936739266 80.36542642861605 0.0 0.0;28.67605336490653 80.36536607891321 0.0 0.0;28.67616426069299 80.36485377699137 0.0 0.0;28.67631486698425 80.36490071564913 0.0 0.0;28.67638075716858 80.36506064236164 0.0 0.0;28.676427821560598 80.36519441753626 0.0 0.0;28.676406936739266 80.36542642861605 0.0 0.0,1610.7369878861666,2024-06-24,2024-02-03,,5882.35,2352.94,,,,fallow,,winter
7,28.6763243 80.3651619 137.1999969482422 3.7,Yes,"[28.6763243, 80.3651619]",361561964,[],2024-07-18T13:59:42,4aa92865-6339-415d-becf-052897d9ee95,0.17,rice,rice,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-05,2024-05-04,,1721304666129.jpg,,,Belauri,5.0,Basante makai,1610.74,28.676406936739266 80.36542642861605 0.0 0.0;28.67605336490653 80.36536607891321 0.0 0.0;28.67616426069299 80.36485377699137 0.0 0.0;28.67631486698425 80.36490071564913 0.0 0.0;28.67638075716858 80.36506064236164 0.0 0.0;28.676427821560598 80.36519441753626 0.0 0.0;28.676406936739266 80.36542642861605 0.0 0.0,1610.7369878861666,2024-06-24,2024-02-03,,5882.35,2352.94,,,,rice,2352.94,summer
7,28.6763243 80.3651619 137.1999969482422 3.7,Yes,"[28.6763243, 80.3651619]",361561964,[],2024-07-18T13:59:42,4aa92865-6339-415d-becf-052897d9ee95,0.17,rice,rice,,,fallow,,,collect:wvVomPI1k5UwGRM5,Kanchanpur,Bishnu Gautam,2024-11-05,2024-05-04,,1721304666129.jpg,,,Belauri,5.0,Basante makai,1610.74,28.676406936739266 80.36542642861605 0.0 0.0;28.67605336490653 80.36536607891321 0.0 0.0;28.67616426069299 80.36485377699137 0.0 0.0;28.67631486698425 80.36490071564913 0.0 0.0;28.67638075716858 80.36506064236164 0.0 0.0;28.676427821560598 80.36519441753626 0.0 0.0;28.676406936739266 80.36542642861605 0.0 0.0,1610.7369878861666,2024-06-24,2024-02-03,,5882.35,2352.94,,,,rice,5882.35,monsoon
8,28.676128 80.3674262 114.20000000000002 4.65,Yes,"[28.676128, 80.3674262]",361565716,[],2024-07-18T14:09:03,4755eebf-0398-43f8-9772-9769fef0c768,0.10200000000000001,rice,fallow,,,mustard,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-10-12,,,1721277332517.jpg,,,Belauri,3.0,Rukh le garda kheri kheti gariyako jagga dakiyako chha.,1047.37,28.67585128130144 80.36740958690643 0.0 0.0; 28.67573303132553 80.36739584058523 0.0 0.0; 28.675709498976083 80.36752961575985 0.0 0.0; 28.67609542883933 80.36758996546268 0.0 0.0; 28.676127785699244 80.36727949976921 0.0 0.0; 28.675868636386163 80.36725670099258 0.0 0.0; 28.67585128130144 80.36740958690643 0.0 0.0,1047.3722723647677,2024-06-29,,,5686.27,,,2450.98,,mustard,2450.98,winter
8,28.676128 80.3674262 114.20000000000002 4.65,Yes,"[28.676128, 80.3674262]",361565716,[],2024-07-18T14:09:03,4755eebf-0398-43f8-9772-9769fef0c768,0.10200000000000001,rice,fallow,,,mustard,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-10-12,,,1721277332517.jpg,,,Belauri,3.0,Rukh le garda kheri kheti gariyako jagga dakiyako chha.,1047.37,28.67585128130144 80.36740958690643 0.0 0.0; 28.67573303132553 80.36739584058523 0.0 0.0; 28.675709498976083 80.36752961575985 0.0 0.0; 28.67609542883933 80.36758996546268 0.0 0.0; 28.676127785699244 80.36727949976921 0.0 0.0; 28.675868636386163 80.36725670099258 0.0 0.0; 28.67585128130144 80.36740958690643 0.0 0.0,1047.3722723647677,2024-06-29,,,5686.27,,,2450.98,,fallow,,summer
8,28.676128 80.3674262 114.20000000000002 4.65,Yes,"[28.676128, 80.3674262]",361565716,[],2024-07-18T14:09:03,4755eebf-0398-43f8-9772-9769fef0c768,0.10200000000000001,rice,fallow,,,mustard,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-10-12,,,1721277332517.jpg,,,Belauri,3.0,Rukh le garda kheri kheti gariyako jagga dakiyako chha.,1047.37,28.67585128130144 80.36740958690643 0.0 0.0; 28.67573303132553 80.36739584058523 0.0 0.0; 28.675709498976083 80.36752961575985 0.0 0.0; 28.67609542883933 80.36758996546268 0.0 0.0; 28.676127785699244 80.36727949976921 0.0 0.0; 28.675868636386163 80.36725670099258 0.0 0.0; 28.67585128130144 80.36740958690643 0.0 0.0,1047.3722723647677,2024-06-29,,,5686.27,,,2450.98,,rice,5686.27,monsoon
9,28.6803552 80.3684128 109.30000000000001 4.531,Yes,"[28.6803552, 80.3684128]",361565726,[],2024-07-18T14:09:05,373aa81f-1a4f-4f00-98f5-f2f770d69331,0.051000000000000004,rice,fallow,,,multiple_crops_1,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-10-15,,,1721295984342.jpg,,,Belauri,1.5,None,494.75,28.680135546740757 80.36839798092842 0.0 0.0;28.680385272977357 80.36848179996014 0.0 0.0;28.680352917432565 80.36864440888166 0.0 0.0;28.680107309107616 80.36858540028334 0.0 0.0;28.680135546740757 80.36839798092842 0.0 0.0,494.75181094019683,2024-06-29,,,5490.2,,,6862.75,,fallow,,summer
9,28.6803552 80.3684128 109.30000000000001 4.531,Yes,"[28.6803552, 80.3684128]",361565726,[],2024-07-18T14:09:05,373aa81f-1a4f-4f00-98f5-f2f770d69331,0.051000000000000004,rice,fallow,,,multiple_crops_1,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-10-15,,,1721295984342.jpg,,,Belauri,1.5,None,494.75,28.680135546740757 80.36839798092842 0.0 0.0;28.680385272977357 80.36848179996014 0.0 0.0;28.680352917432565 80.36864440888166 0.0 0.0;28.680107309107616 80.36858540028334 0.0 0.0;28.680135546740757 80.36839798092842 0.0 0.0,494.75181094019683,2024-06-29,,,5490.2,,,6862.75,,rice,5490.2,monsoon
10,28.6772761 80.3702759 93.9 4.45,Yes,"[28.6772761, 80.3702759]",361565747,[],2024-07-18T14:09:07,c7c5172d-31d8-4c10-9e25-dba460354a56,0.136,rice,fallow,,,mustard,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-11-02,,,1721298415234.jpg,,,Belauri,4.0,None,1266.94,28.677022007691093 80.37053503096104 0.0 0.0;28.677319099492465 80.37055313587189 0.0 0.0;28.67733233623629 80.37014778703451 0.0 0.0;28.677045833896344 80.37014309316874 0.0 0.0;28.677022007691093 80.37053503096104 0.0 0.0,1266.9439196950216,2024-07-05,,,4411.76,,,1911.76,,mustard,1911.76,winter
10,28.6772761 80.3702759 93.9 4.45,Yes,"[28.6772761, 80.3702759]",361565747,[],2024-07-18T14:09:07,c7c5172d-31d8-4c10-9e25-dba460354a56,0.136,rice,fallow,,,mustard,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-11-02,,,1721298415234.jpg,,,Belauri,4.0,None,1266.94,28.677022007691093 80.37053503096104 0.0 0.0;28.677319099492465 80.37055313587189 0.0 0.0;28.67733233623629 80.37014778703451 0.0 0.0;28.677045833896344 80.37014309316874 0.0 0.0;28.677022007691093 80.37053503096104 0.0 0.0,1266.9439196950216,2024-07-05,,,4411.76,,,1911.76,,fallow,,summer
10,28.6772761 80.3702759 93.9 4.45,Yes,"[28.6772761, 80.3702759]",361565747,[],2024-07-18T14:09:07,c7c5172d-31d8-4c10-9e25-dba460354a56,0.136,rice,fallow,,,mustard,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-11-02,,,1721298415234.jpg,,,Belauri,4.0,None,1266.94,28.677022007691093 80.37053503096104 0.0 0.0;28.677319099492465 80.37055313587189 0.0 0.0;28.67733233623629 80.37014778703451 0.0 0.0;28.677045833896344 80.37014309316874 0.0 0.0;28.677022007691093 80.37053503096104 0.0 0.0,1266.9439196950216,2024-07-05,,,4411.76,,,1911.76,,rice,4411.76,monsoon
11,28.6721713 80.3808112 116.20000000000002 1.933,Yes,"[28.6721713, 80.3808112]",361565759,[],2024-07-18T14:09:08,caf081b9-4519-4c10-9da8-7b860fcd1a2d,0.051000000000000004,rice,fallow,,,wheat,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-11-04,,2024-03-21,1721302231432.jpg,,,Belauri,1.5,None,458.85,28.672286074122756 80.3807234019041 0.0 0.0;28.67216458431482 80.3806784749031 0.0 0.0;28.67206192090488 80.38098592311144 0.0 0.0;28.67218723496767 80.38102850317955 0.0 0.0;28.672286074122756 80.3807234019041 0.0 0.0,458.84850087407483,2024-06-26,,2023-11-30,4705.88,,,3529.41,,wheat,3529.41,winter
11,28.6721713 80.3808112 116.20000000000002 1.933,Yes,"[28.6721713, 80.3808112]",361565759,[],2024-07-18T14:09:08,caf081b9-4519-4c10-9da8-7b860fcd1a2d,0.051000000000000004,rice,fallow,,,wheat,,,collect:TJhDISKBXoE00Jsq,Kanchanpur,Chhatra Shahi,2024-11-04,,2024-03-21,1721302231432.jpg,,,Belauri,1.5,None,458.85,28.672286074122756 80.3807234019041 0.0 0.0;28.67216458431482 80.3806784749031 0.0 0.0;28.67206192090488 80.38098592311144 0.0 0.0;28.67218723496767 80.38102850317955 0.0 0.0;28.672286074122756 80.3807234019041 0.0 0.0,458.84850087407483,2024-06-26,,2023-11-30,4705.88,,,3529.41,,fallow,,summer
