,GPS_point,Plot_size,_geolocation,_id,_notes,_submission_time,_uuid,area_in_hectare,crop_monsoon,crop_summer,crop_summer_001,crop_summer_1,crop_winter,crop_winter_001,crop_winter_1,deviceid,district,enum_name,harvest_date_mon,harvest_date_summ,harvest_date_winter,image,other_crop_monsoon,other_crop_summer,palika,plot_area,remarks,rounded_shape_area,shape,shape_area,sowing_date_mon,sowing_date_summ,sowing_date_winter,yield_mons,yield_summ,yield_summ_1,yield_winter,yield_winter_1,crop,yield,season
60,28.6112877 81.1339128 137.3000030517578 4.185,Yes,"[28.6112877, 81.1339128]",361884712,[],2024-07-19T11:32:07,b6aa7820-8d40-40ec-908a-ab8476fc9ffe,0.34,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-28,,,1721370828841.jpg,,,Lamki Chuha,10.0,"mustard :200 Kg
 lentils: 300",2979.68,28.611578056049293 81.13400101661682 0.0 0.0;28.61153420023038 81.13413076847792 0.0 0.0;28.6115183061707 81.13423135131598 0.0 0.0;28.611490050058638 81.13431181758642 0.0 0.0;28.6115233098564 81.13434132188559 0.0 0.0;28.61149122739678 81.13443184643984 0.0 0.0;28.611354656082874 81.13439597189426 0.0 0.0;28.6112360390433 81.13433595746756 0.0 0.0;28.611172756945074 81.13430511206388 0.0 0.0;28.611079158236837 81.13429639488459 0.0 0.0;28.61098143874178 81.13427862524986 0.0 0.0;28.610994683859396 81.13420654088259 0.0 0.0;28.610948473108486 81.13417066633701 0.0 0.0;28.611017936395147 81.13404057919979 0.0 0.0;28.611094463691696 81.13384611904621 0.0 0.0;28.611170107926167 81.13369256258011 0.0 0.0;28.611578056049293 81.13400101661682 0.0 0.0,2979.682319725948,2024-07-06,,,5882.35,,,882.35,,fallow,,summer
60,28.6112877 81.1339128 137.3000030517578 4.185,Yes,"[28.6112877, 81.1339128]",361884712,[],2024-07-19T11:32:07,b6aa7820-8d40-40ec-908a-ab8476fc9ffe,0.34,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-28,,,1721370828841.jpg,,,Lamki Chuha,10.0,"mustard :200 Kg
 lentils: 300",2979.68,28.611578056049293 81.13400101661682 0.0 0.0;28.61153420023038 81.13413076847792 0.0 0.0;28.6115183061707 81.13423135131598 0.0 0.0;28.611490050058638 81.13431181758642 0.0 0.0;28.6115233098564 81.13434132188559 0.0 0.0;28.61149122739678 81.13443184643984 0.0 0.0;28.611354656082874 81.13439597189426 0.0 0.0;28.6112360390433 81.13433595746756 0.0 0.0;28.611172756945074 81.13430511206388 0.0 0.0;28.611079158236837 81.13429639488459 0.0 0.0;28.61098143874178 81.13427862524986 0.0 0.0;28.610994683859396 81.13420654088259 0.0 0.0;28.610948473108486 81.13417066633701 0.0 0.0;28.611017936395147 81.13404057919979 0.0 0.0;28.611094463691696 81.13384611904621 0.0 0.0;28.611170107926167 81.13369256258011 0.0 0.0;28.611578056049293 81.13400101661682 0.0 0.0,2979.682319725948,2024-07-06,,,5882.35,,,882.35,,rice,5882.35,monsoon
61,28.6124114 81.1337367 150.0 4.223,Yes,"[28.6124114, 81.1337367]",361884728,[],2024-07-19T11:32:10,2c3df252-aeff-41c2-a980-8ad177cbbdc1,0.30600000000000005,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-06,,,1721372179778.jpg,,,Lamki Chuha,9.0,"mustard :230 Kg 
Lentils: 200 Kg",3473.37,28.61259232712788 81.13342098891735 0.0 0.0; 28.61271535760251 81.13348804414272 0.0 0.0; 28.612850455493543 81.1335564404726 0.0 0.0; 28.612784525389763 81.13369021564722 0.0 0.0; 28.61272742517718 81.13382767885923 0.0 0.0; 28.612630884540927 81.13409589976072 0.0 0.0; 28.61248931106939 81.13442078232765 0.0 0.0; 28.612448398949557 81.1345250532031 0.0 0.0; 28.612324190833412 81.13446906208992 0.0 0.0; 28.61217260963963 81.13437786698341 0.0 0.0; 28.612334492460008 81.13398090004921 0.0 0.0; 28.61259232712788 81.13342098891735 0.0 0.0,3473.3742664063802,2024-07-03,,,3921.57,,,751.63,,fallow,,summer
61,28.6124114 81.1337367 150.0 4.223,Yes,"[28.6124114, 81.1337367]",361884728,[],2024-07-19T11:32:10,2c3df252-aeff-41c2-a980-8ad177cbbdc1,0.30600000000000005,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-06,,,1721372179778.jpg,,,Lamki Chuha,9.0,"mustard :230 Kg 
Lentils: 200 Kg",3473.37,28.61259232712788 81.13342098891735 0.0 0.0; 28.61271535760251 81.13348804414272 0.0 0.0; 28.612850455493543 81.1335564404726 0.0 0.0; 28.612784525389763 81.13369021564722 0.0 0.0; 28.61272742517718 81.13382767885923 0.0 0.0; 28.612630884540927 81.13409589976072 0.0 0.0; 28.61248931106939 81.13442078232765 0.0 0.0; 28.612448398949557 81.1345250532031 0.0 0.0; 28.612324190833412 81.13446906208992 0.0 0.0; 28.61217260963963 81.13437786698341 0.0 0.0; 28.612334492460008 81.13398090004921 0.0 0.0; 28.61259232712788 81.13342098891735 0.0 0.0,3473.3742664063802,2024-07-03,,,3921.57,,,751.63,,rice,3921.57,monsoon
62,28.622911 81.1454696 153.6 3.588,Yes,"[28.622911, 81.1454696]",361884751,[],2024-07-19T11:32:13,f68248ee-4eee-4245-8823-97354f614dd8,0.136,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-01,,,1721378815515.jpg,,,Lamki Chuha,4.0,"mustard :70 Kg 
Lentils: 85 Kg",1211.11,28.622940216797826 81.14526327699423 0.0 0.0; 28.62289989735456 81.1452716588974 0.0 0.0; 28.622846039971922 81.14533368498087 0.0 0.0; 28.622789828138693 81.14541716873646 0.0 0.0; 28.622680936020156 81.14554859697819 0.0 0.0; 28.622641793690487 81.14551842212677 0.0 0.0; 28.622562037469837 81.14547718316317 0.0 0.0; 28.622483752707243 81.14559084177017 0.0 0.0; 28.622667986679623 81.1456823721528 0.0 0.0; 28.622830441926975 81.14574808627367 0.0 0.0; 28.622893717000572 81.14559821784496 0.0 0.0; 28.622938450983103 81.14554524421692 0.0 0.0; 28.622962289479158 81.14551272243261 0.0 0.0; 28.623025564473295 81.14542957395315 0.0 0.0; 28.622940216797826 81.14526327699423 0.0 0.0,1211.1101930693446,2024-06-23,,,4411.76,,,514.71,,fallow,,summer
62,28.622911 81.1454696 153.6 3.588,Yes,"[28.622911, 81.1454696]",361884751,[],2024-07-19T11:32:13,f68248ee-4eee-4245-8823-97354f614dd8,0.136,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-01,,,1721378815515.jpg,,,Lamki Chuha,4.0,"mustard :70 Kg 
Lentils: 85 Kg",1211.11,28.622940216797826 81.14526327699423 0.0 0.0; 28.62289989735456 81.1452716588974 0.0 0.0; 28.622846039971922 81.14533368498087 0.0 0.0; 28.622789828138693 81.14541716873646 0.0 0.0; 28.622680936020156 81.14554859697819 0.0 0.0; 28.622641793690487 81.14551842212677 0.0 0.0; 28.622562037469837 81.14547718316317 0.0 0.0; 28.622483752707243 81.14559084177017 0.0 0.0; 28.622667986679623 81.1456823721528 0.0 0.0; 28.622830441926975 81.14574808627367 0.0 0.0; 28.622893717000572 81.14559821784496 0.0 0.0; 28.622938450983103 81.14554524421692 0.0 0.0; 28.622962289479158 81.14551272243261 0.0 0.0; 28.623025564473295 81.14542957395315 0.0 0.0; 28.622940216797826 81.14526327699423 0.0 0.0,1211.1101930693446,2024-06-23,,,4411.76,,,514.71,,rice,4411.76,monsoon
63,28.6216734 81.1474006 142.90000915527344 3.36,Yes,"[28.6216734, 81.1474006]",361884810,[],2024-07-19T11:32:21,ed6a7899-0cd3-4ffb-8661-80568a98e018,0.17,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-06,,,1721379907187.jpg,,,Lamki Chuha,5.0,"mustard :250 
Lentils: 130 kg",2033.12,28.621661464869824 81.14765848964453 0.0 0.0; 28.621332724515803 81.14731717854738 0.0 0.0; 28.621477229131244 81.14708852022886 0.0 0.0; 28.621530792909656 81.14700235426426 0.0 0.0; 28.62190456137202 81.14732623100281 0.0 0.0; 28.621661464869824 81.14765848964453 0.0 0.0,2033.115257918877,2024-06-23,,,7058.82,,,1470.59,,fallow,,summer
63,28.6216734 81.1474006 142.90000915527344 3.36,Yes,"[28.6216734, 81.1474006]",361884810,[],2024-07-19T11:32:21,ed6a7899-0cd3-4ffb-8661-80568a98e018,0.17,rice,fallow,,,multiple_crops_1,,,collect:fmXblfq6Jc8niTmb,Kailali,Lal Prasad Bhandari,2024-10-06,,,1721379907187.jpg,,,Lamki Chuha,5.0,"mustard :250 
Lentils: 130 kg",2033.12,28.621661464869824 81.14765848964453 0.0 0.0; 28.621332724515803 81.14731717854738 0.0 0.0; 28.621477229131244 81.14708852022886 0.0 0.0; 28.621530792909656 81.14700235426426 0.0 0.0; 28.62190456137202 81.14732623100281 0.0 0.0; 28.621661464869824 81.14765848964453 0.0 0.0,2033.115257918877,2024-06-23,,,7058.82,,,1470.59,,rice,7058.82,monsoon
85,28.60914 81.1345887 124.024169921875 3.803,Yes,"[28.60914, 81.1345887]",361921156,[],2024-07-19T13:10:52,80402c34-0c80-4503-acaa-e191b40ec2cd,0.11900000000000001,rice,fallow,,,multiple_crops_1,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-11,,,1721364083471.jpg,,,Lamki Chuha,3.5,"Lentil 50 kg, kerau 25",1018.72,28.609065882812995 81.13478489220142 0.0 0.0; 28.608951383972084 81.1345998197794 0.0 0.0; 28.60940672952349 81.13433293998241 0.0 0.0; 28.609431159772026 81.1343939602375 0.0 0.0; 28.609359929392998 81.13458137959242 0.0 0.0; 28.609065882812995 81.13478489220142 0.0 0.0,1018.7165501290672,2024-07-03,,,5042.02,,,504.2,,fallow,,summer
85,28.60914 81.1345887 124.024169921875 3.803,Yes,"[28.60914, 81.1345887]",361921156,[],2024-07-19T13:10:52,80402c34-0c80-4503-acaa-e191b40ec2cd,0.11900000000000001,rice,fallow,,,multiple_crops_1,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-11,,,1721364083471.jpg,,,Lamki Chuha,3.5,"Lentil 50 kg, kerau 25",1018.72,28.609065882812995 81.13478489220142 0.0 0.0; 28.608951383972084 81.1345998197794 0.0 0.0; 28.60940672952349 81.13433293998241 0.0 0.0; 28.609431159772026 81.1343939602375 0.0 0.0; 28.609359929392998 81.13458137959242 0.0 0.0; 28.609065882812995 81.13478489220142 0.0 0.0,1018.7165501290672,2024-07-03,,,5042.02,,,504.2,,rice,5042.02,monsoon
86,28.6083539 81.1329316 125.30364990234375 4.727,Yes,"[28.6083539, 81.1329316]",361921179,[],2024-07-19T13:10:55,5e36f2c7-977b-4134-bd6d-c5012e876f5a,0.136,rice,fallow,,,mustard,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-01,,,1721365875733.jpg,,,Lamki Chuha,4.0,No,1829.09,28.60814606212071 81.1329174041748 0.0 0.0; 28.608315898419608 81.13276083022356 0.0 0.0; 28.608466013463815 81.13290432840586 0.0 0.0; 28.60861789434908 81.13282419741154 0.0 0.0; 28.608692657339862 81.13295763731003 0.0 0.0; 28.608344449728822 81.1333455517888 0.0 0.0; 28.608175790851448 81.1331282928586 0.0 0.0; 28.60822965575793 81.13307163119316 0.0 0.0; 28.60814606212071 81.1329174041748 0.0 0.0,1829.08625802046,2024-07-08,,,8823.53,,,1470.59,,mustard,1470.59,winter
86,28.6083539 81.1329316 125.30364990234375 4.727,Yes,"[28.6083539, 81.1329316]",361921179,[],2024-07-19T13:10:55,5e36f2c7-977b-4134-bd6d-c5012e876f5a,0.136,rice,fallow,,,mustard,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-01,,,1721365875733.jpg,,,Lamki Chuha,4.0,No,1829.09,28.60814606212071 81.1329174041748 0.0 0.0; 28.608315898419608 81.13276083022356 0.0 0.0; 28.608466013463815 81.13290432840586 0.0 0.0; 28.60861789434908 81.13282419741154 0.0 0.0; 28.608692657339862 81.13295763731003 0.0 0.0; 28.608344449728822 81.1333455517888 0.0 0.0; 28.608175790851448 81.1331282928586 0.0 0.0; 28.60822965575793 81.13307163119316 0.0 0.0; 28.60814606212071 81.1329174041748 0.0 0.0,1829.08625802046,2024-07-08,,,8823.53,,,1470.59,,fallow,,summer
86,28.6083539 81.1329316 125.30364990234375 4.727,Yes,"[28.6083539, 81.1329316]",361921179,[],2024-07-19T13:10:55,5e36f2c7-977b-4134-bd6d-c5012e876f5a,0.136,rice,fallow,,,mustard,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-01,,,1721365875733.jpg,,,Lamki Chuha,4.0,No,1829.09,28.60814606212071 81.1329174041748 0.0 0.0; 28.608315898419608 81.13276083022356 0.0 0.0; 28.608466013463815 81.13290432840586 0.0 0.0; 28.60861789434908 81.13282419741154 0.0 0.0; 28.608692657339862 81.13295763731003 0.0 0.0; 28.608344449728822 81.1333455517888 0.0 0.0; 28.608175790851448 81.1331282928586 0.0 0.0; 28.60822965575793 81.13307163119316 0.0 0.0; 28.60814606212071 81.1329174041748 0.0 0.0,1829.08625802046,2024-07-08,,,8823.53,,,1470.59,,rice,8823.53,monsoon
87,28.6075892 81.1333761 132.9515380859375 4.776,Yes,"[28.6075892, 81.1333761]",361921237,[],2024-07-19T13:11:06,f51f8b4b-9b75-4fb0-995d-985032dfa6ce,0.085,rice,maize,,,mustard,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-01,2024-06-16,,1721366734778.jpg,,,Lamki Chuha,2.5,No,740.93,28.607627721216176 81.13363221287727 0.0 0.0; 28.607467597216964 81.13351486623287 0.0 0.0; 28.607564436944184 81.13318361341953 0.0 0.0; 28.607755172680818 81.13327246159315 0.0 0.0; 28.607676582534975 81.13343507051468 0.0 0.0; 28.60763301943256 81.13350111991167 0.0 0.0; 28.607667752177836 81.1335426941514 0.0 0.0; 28.607627721216176 81.13363221287727 0.0 0.0,740.9252541267468,2024-07-07,2024-03-01,,7058.82,7058.82,,1764.71,,mustard,1764.71,winter
87,28.6075892 81.1333761 132.9515380859375 4.776,Yes,"[28.6075892, 81.1333761]",361921237,[],2024-07-19T13:11:06,f51f8b4b-9b75-4fb0-995d-985032dfa6ce,0.085,rice,maize,,,mustard,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-01,2024-06-16,,1721366734778.jpg,,,Lamki Chuha,2.5,No,740.93,28.607627721216176 81.13363221287727 0.0 0.0; 28.607467597216964 81.13351486623287 0.0 0.0; 28.607564436944184 81.13318361341953 0.0 0.0; 28.607755172680818 81.13327246159315 0.0 0.0; 28.607676582534975 81.13343507051468 0.0 0.0; 28.60763301943256 81.13350111991167 0.0 0.0; 28.607667752177836 81.1335426941514 0.0 0.0; 28.607627721216176 81.13363221287727 0.0 0.0,740.9252541267468,2024-07-07,2024-03-01,,7058.82,7058.82,,1764.71,,maize,7058.82,summer
87,28.6075892 81.1333761 132.9515380859375 4.776,Yes,"[28.6075892, 81.1333761]",361921237,[],2024-07-19T13:11:06,f51f8b4b-9b75-4fb0-995d-985032dfa6ce,0.085,rice,maize,,,mustard,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-01,2024-06-16,,1721366734778.jpg,,,Lamki Chuha,2.5,No,740.93,28.607627721216176 81.13363221287727 0.0 0.0; 28.607467597216964 81.13351486623287 0.0 0.0; 28.607564436944184 81.13318361341953 0.0 0.0; 28.607755172680818 81.13327246159315 0.0 0.0; 28.607676582534975 81.13343507051468 0.0 0.0; 28.60763301943256 81.13350111991167 0.0 0.0; 28.607667752177836 81.1335426941514 0.0 0.0; 28.607627721216176 81.13363221287727 0.0 0.0,740.9252541267468,2024-07-07,2024-03-01,,7058.82,7058.82,,1764.71,,rice,7058.82,monsoon
88,28.6070898 81.1320113 124.3170166015625 4.937,Yes,"[28.6070898, 81.1320113]",361921279,[],2024-07-19T13:11:15,6dcbc6d8-8869-4134-847e-37b12a8c8a13,0.34,rice,fallow,,,multiple_crops_1,,,collect:VDwSaEqx2sOdMBER,Kailali,Rabischandra Bhatta,2024-10-11,,,1721369474684.jpg,,,Lamki Chuha,10.0,Tori 200 kg agadi mention gareko chhu  ra Masuro 200 kg utpadan bhayeko. ,3569.81,28.606800313144 81.13252211362123 0.0 0.0; 28.606996937210695 81.13202523440123 0.0 0.0; 28.60681120400761 81.13190855830908 0.0 0.0; 28.607047859251814 81.13134227693081 0.0 0.0; 28.607263909718224 81.13148041069508 0.0 0.0; 28.60709053955629 81.13261062651873 0.0 0.0; 28.606800313144 81.13252211362123 0.0 0.0,3569.8149049681015,2024-06-23,,,4411.76,,,588.24,,fallow,,summer
